index,title,cast,director,keywords,genres,soup
10446,No Direction Home: Bob Dylan,"['bobdylan', 'allenginsberg', 'joanbaez']",martinscorsese,['performancefolkrock'],"['documentary', 'music']","['performancefolkrock', 'bobdylan', 'allenginsberg', 'joanbaez', 'martinscorsese', 'documentary', 'music']"
10447,Valerie and Her Week of Wonders,"['jaroslavaschallerová', 'helenaanýzová', 'petrkopriva']",jaromiljireš,"['corruption', 'sex', 'sexuality']","['fantasy', 'adventure', 'drama']","['corruption', 'sex', 'sexuality', 'jaroslavaschallerová', 'helenaanýzová', 'petrkopriva', 'jaromiljireš', 'fantasy', 'adventure', 'drama']"
10448,Everybody's Fine,"['marcellomastroianni', 'michèlemorgan', 'valeriacavalli']",giuseppetornatore,[],['drama'],"['marcellomastroianni', 'michèlemorgan', 'valeriacavalli', 'giuseppetornatore', 'drama']"
10449,Hail the Conquering Hero,"['eddiebracken', 'ellaraines', 'raymondwalburn']",prestonsturges,"['mother', 'hero', 'mayor']","['comedy', 'war']","['mother', 'hero', 'mayor', 'eddiebracken', 'ellaraines', 'raymondwalburn', 'prestonsturges', 'comedy', 'war']"
10450,Goal!: The Dream Begins,"['kunobecker', 'alessandronivola', 'annafriel']",dannycannon,"['restaurant', 'sport', 'coach']",['drama'],"['restaurant', 'sport', 'coach', 'kunobecker', 'alessandronivola', 'annafriel', 'dannycannon', 'drama']"
10451,Forty Shades of Blue,"['dinakorzun', 'riptorn', 'darrene.burrows']",irasachs,['independentfilm'],"['drama', 'romance']","['independentfilm', 'dinakorzun', 'riptorn', 'darrene.burrows', 'irasachs', 'drama', 'romance']"
10452,Touch the Sound,"['evelynglennie', 'fredfrith']",thomasriedelsheimer,[],"['documentary', 'music']","['evelynglennie', 'fredfrith', 'thomasriedelsheimer', 'documentary', 'music']"
10453,Angels in America,"['alpacino', 'merylstreep', 'patrickwilson']",mikenichols,"['gay', 'newyork', 'aids']","['drama', 'fantasy']","['gay', 'newyork', 'aids', 'alpacino', 'merylstreep', 'patrickwilson', 'mikenichols', 'drama', 'fantasy']"
10454,Speak,"['kristenstewart', 'elizabethperkins', 'stevezahn']",jessicasharzer,"['rape', 'trauma', 'highschool']",['drama'],"['rape', 'trauma', 'highschool', 'kristenstewart', 'elizabethperkins', 'stevezahn', 'jessicasharzer', 'drama']"
10455,The Wraith,"['charliesheen', 'nickcassavetes', 'sherilynfenn']",mikemarvin,"['malenudity', 'femalenudity', 'sex']","['romance', 'sciencefiction', 'horror']","['malenudity', 'femalenudity', 'sex', 'charliesheen', 'nickcassavetes', 'sherilynfenn', 'mikemarvin', 'romance', 'sciencefiction', 'horror']"
10456,Factotum,"['mattdillon', 'lilitaylor', 'marisatomei']",benthamer,"['norway', 'alcoholism', 'beautifulwoman']","['comedy', 'drama', 'romance']","['norway', 'alcoholism', 'beautifulwoman', 'mattdillon', 'lilitaylor', 'marisatomei', 'benthamer', 'comedy', 'drama', 'romance']"
10457,Sweet Movie,"['carolelaure', 'pierreclémenti', 'annaprucnal']",dusanmakavejev,"['bizarre', 'beautyqueencontest', 'independentfilm']","['mystery', 'comedy', 'drama']","['bizarre', 'beautyqueencontest', 'independentfilm', 'carolelaure', 'pierreclémenti', 'annaprucnal', 'dusanmakavejev', 'mystery', 'comedy', 'drama']"
10458,By Dawn's Early Light,"['powersboothe', 'rebeccademornay', 'jamesearljones']",jacksholder,['nuclearmissile'],"['tvmovie', 'action', 'drama']","['nuclearmissile', 'powersboothe', 'rebeccademornay', 'jamesearljones', 'jacksholder', 'tvmovie', 'action', 'drama']"
10459,Don't Come Knocking,"['samshepard', 'jessicalange', 'sarahpolley']",wimwenders,[],"['drama', 'music']","['samshepard', 'jessicalange', 'sarahpolley', 'wimwenders', 'drama', 'music']"
10460,Bullets or Ballots,"['edwardg.robinson', 'joanblondell', 'bartonmaclane']",williamkeighley,"['corruption', 'undercover', 'police']","['crime', 'drama', 'thriller']","['corruption', 'undercover', 'police', 'edwardg.robinson', 'joanblondell', 'bartonmaclane', 'williamkeighley', 'crime', 'drama', 'thriller']"
10461,In Her Shoes,"['camerondiaz', 'tonicollette', 'shirleymaclaine']",curtishanson,"['suicide', 'sex', 'hotel']","['comedy', 'drama', 'romance']","['suicide', 'sex', 'hotel', 'camerondiaz', 'tonicollette', 'shirleymaclaine', 'curtishanson', 'comedy', 'drama', 'romance']"
10462,Mother of Mine,"['topimajaniemi', 'marjaanamaijala', 'marialundqvist']",klaushärö,"['finnishwarchildren', 'warchild']",['drama'],"['finnishwarchildren', 'warchild', 'topimajaniemi', 'marjaanamaijala', 'marialundqvist', 'klaushärö', 'drama']"
10463,The Ketchup Effect,"['amandarenberg', 'björnkjellman', 'ellenfjæstad']",teresafabik,['womandirector'],['comedy'],"['womandirector', 'amandarenberg', 'björnkjellman', 'ellenfjæstad', 'teresafabik', 'comedy']"
10464,55 Days at Peking,"['charltonheston', 'avagardner', 'davidniven']",nicholasray,"['siege', 'epic', 'beijing']","['action', 'drama', 'history']","['siege', 'epic', 'beijing', 'charltonheston', 'avagardner', 'davidniven', 'nicholasray', 'action', 'drama', 'history']"
10465,Dead & Breakfast,"['jeremysisto', 'erikpalladino', 'biancalawson']",matthewleutwyler,"['gore', 'zombie']","['comedy', 'horror']","['gore', 'zombie', 'jeremysisto', 'erikpalladino', 'biancalawson', 'matthewleutwyler', 'comedy', 'horror']"
10466,Freeze Frame,"['leeevans', 'seanmcginley', 'ianmcneice']",johnsimpson,"['lossoffamily', 'camcorder', 'alibi']","['thriller', 'drama', 'crime']","['lossoffamily', 'camcorder', 'alibi', 'leeevans', 'seanmcginley', 'ianmcneice', 'johnsimpson', 'thriller', 'drama', 'crime']"
10467,Punishment Park,"['carmenargenziano', 'scottturner', 'patrickboland']",peterwatkins,"['hippie', 'dystopia', 'mockumentary']","['drama', 'thriller']","['hippie', 'dystopia', 'mockumentary', 'carmenargenziano', 'scottturner', 'patrickboland', 'peterwatkins', 'drama', 'thriller']"
10468,The Mating Game,"['debbiereynolds', 'tonyrandall', 'pauldouglas']",georgemarshall,"['maryland', 'taxes', 'taxinspector']","['comedy', 'romance']","['maryland', 'taxes', 'taxinspector', 'debbiereynolds', 'tonyrandall', 'pauldouglas', 'georgemarshall', 'comedy', 'romance']"
10469,The Squid and the Whale,"['jeffdaniels', 'lauralinney', 'jesseeisenberg']",noahbaumbach,"['childhoodmemory', 'uniform', 'independentfilm']","['comedy', 'drama']","['childhoodmemory', 'uniform', 'independentfilm', 'jeffdaniels', 'lauralinney', 'jesseeisenberg', 'noahbaumbach', 'comedy', 'drama']"
10470,Two for the Money,"['alpacino', 'matthewmcconaughey', 'renerusso']",d.j.caruso,"['bet', 'career', 'greed']","['comedy', 'crime', 'drama']","['bet', 'career', 'greed', 'alpacino', 'matthewmcconaughey', 'renerusso', 'd.j.caruso', 'comedy', 'crime', 'drama']"
10471,Separate Lies,"['tomwilkinson', 'emilywatson', 'hermionenorris']",julianfellowes,[],"['romance', 'drama', 'thriller']","['tomwilkinson', 'emilywatson', 'hermionenorris', 'julianfellowes', 'romance', 'drama', 'thriller']"
10472,Fourteen Sucks,"['elinahlberg', 'jesperfridh', 'andreaskaroliussen']",filippafreijd,[],"['romance', 'drama']","['elinahlberg', 'jesperfridh', 'andreaskaroliussen', 'filippafreijd', 'romance', 'drama']"
10473,Star Wreck: In the Pirkinning,"['samulitorssonen', 'attejoutsen', 'timovuorensola']",timovuorensola,"['shower', 'russia', 'emperor']","['sciencefiction', 'action', 'comedy']","['shower', 'russia', 'emperor', 'samulitorssonen', 'attejoutsen', 'timovuorensola', 'timovuorensola', 'sciencefiction', 'action', 'comedy']"
10474,Evelyn Prentice,"['williampowell', 'myrnaloy', 'unamerkel']",williamk.howard,"['blackmail', 'criminallawyer']","['drama', 'mystery', 'romance']","['blackmail', 'criminallawyer', 'williampowell', 'myrnaloy', 'unamerkel', 'williamk.howard', 'drama', 'mystery', 'romance']"
10475,Brokeback Mountain,"['heathledger', 'jakegyllenhaal', 'randyquaid']",anglee,"['gay', 'countryside', 'homophobia']","['drama', 'romance']","['gay', 'countryside', 'homophobia', 'heathledger', 'jakegyllenhaal', 'randyquaid', 'anglee', 'drama', 'romance']"
10476,Blue Vinyl,[],danielb.gold,['womandirector'],['documentary'],"['womandirector', 'danielb.gold', 'documentary']"
10477,Elizabethtown,"['orlandobloom', 'kirstendunst', 'susansarandon']",cameroncrowe,"['suicide', 'hotelroom', 'suicideattempt']","['comedy', 'drama', 'romance']","['suicide', 'hotelroom', 'suicideattempt', 'orlandobloom', 'kirstendunst', 'susansarandon', 'cameroncrowe', 'comedy', 'drama', 'romance']"
10478,North Country,"['charlizetheron', 'ellepeterson', 'thomascurtis']",nikicaro,"['rape', 'secret', 'minnesota']",['drama'],"['rape', 'secret', 'minnesota', 'charlizetheron', 'ellepeterson', 'thomascurtis', 'nikicaro', 'drama']"
10479,Leila,"['leilahatami', 'alimosaffa', 'jamilehsheikhi']",dariushmehrjui,['infertility'],"['family', 'drama', 'romance']","['infertility', 'leilahatami', 'alimosaffa', 'jamilehsheikhi', 'dariushmehrjui', 'family', 'drama', 'romance']"
10480,"Good Night, and Good Luck.","['davidstrathairn', 'jeffdaniels', 'alexborstein']",georgeclooney,"['telecaster', 'communist', 'politicalactivism']","['drama', 'history']","['telecaster', 'communist', 'politicalactivism', 'davidstrathairn', 'jeffdaniels', 'alexborstein', 'georgeclooney', 'drama', 'history']"
10481,Li'l Abner,"['peterpalmer', 'leslieparrish', 'stubbykaye']",melvinfrank,['basedoncomic'],"['comedy', 'music', 'family']","['basedoncomic', 'peterpalmer', 'leslieparrish', 'stubbykaye', 'melvinfrank', 'comedy', 'music', 'family']"
10482,Dreamer: Inspired By a True Story,"['kurtrussell', 'dakotafanning', 'kriskristofferson']",johngatins,"['horserace', 'horse', 'kentucky']","['drama', 'family']","['horserace', 'horse', 'kentucky', 'kurtrussell', 'dakotafanning', 'kriskristofferson', 'johngatins', 'drama', 'family']"
10483,The Profession of Arms,"['christojivkov', 'desislavatenekedjieva', 'sandraceccarelli']",ermannoolmi,[],"['adventure', 'drama', 'history']","['christojivkov', 'desislavatenekedjieva', 'sandraceccarelli', 'ermannoolmi', 'adventure', 'drama', 'history']"
10484,Detective Story,"['kirkdouglas', 'eleanorparker', 'williambendix']",williamwyler,['policestation'],"['crime', 'drama']","['policestation', 'kirkdouglas', 'eleanorparker', 'williambendix', 'williamwyler', 'crime', 'drama']"
10485,The Proposition,"['guypearce', 'raywinstone', 'emilywatson']",johnhillcoat,"['gallows', 'australia', 'psychopath']","['action', 'adventure', 'crime']","['gallows', 'australia', 'psychopath', 'guypearce', 'raywinstone', 'emilywatson', 'johnhillcoat', 'action', 'adventure', 'crime']"
10486,The Gospel,"['boriskodjoe', 'nonagaye', 'idriselba']",robhardy,['musical'],"['drama', 'music']","['musical', 'boriskodjoe', 'nonagaye', 'idriselba', 'robhardy', 'drama', 'music']"
10487,Dandelion,"['vincentkartheiser', 'tarynmanning', 'arlisshoward']",markmilgard,['independentfilm'],"['drama', 'romance']","['independentfilm', 'vincentkartheiser', 'tarynmanning', 'arlisshoward', 'markmilgard', 'drama', 'romance']"
10488,C.S.A.: The Confederate States of America,"['gregkirsch', 'rupertpate', 'ryanl.carroll']",kevinwillmott,"['civilwar', 'slavery', 'mockumentary']","['war', 'comedy', 'drama']","['civilwar', 'slavery', 'mockumentary', 'gregkirsch', 'rupertpate', 'ryanl.carroll', 'kevinwillmott', 'war', 'comedy', 'drama']"
10489,The Fog,"['tomwelling', 'maggiegrace', 'selmablair']",rupertwainwright,"['prophecy', 'fire', 'sea']","['horror', 'thriller']","['prophecy', 'fire', 'sea', 'tomwelling', 'maggiegrace', 'selmablair', 'rupertwainwright', 'horror', 'thriller']"
10490,Loggerheads,"['kippardue', 'tessharper', 'michaelkelly']",timkirkman,['independentfilm'],['drama'],"['independentfilm', 'kippardue', 'tessharper', 'michaelkelly', 'timkirkman', 'drama']"
10491,Left Behind III: World at War,"['louisgossett,jr.', 'kirkcameron', 'bradjohnson']",craigr.baxley,[],"['action', 'adventure', 'drama']","['louisgossett,jr.', 'kirkcameron', 'bradjohnson', 'craigr.baxley', 'action', 'adventure', 'drama']"
10492,Protocols Of Zion,"['marclevin', 'alanlevin']",marclevin,"['antisemitism', 'libel']",['documentary'],"['antisemitism', 'libel', 'marclevin', 'alanlevin', 'marclevin', 'documentary']"
10493,Living 'til the End,"['seanmaher', 'jaimeraynewman', 'janetcarroll']",amandagoodwin,['womandirector'],"['drama', 'romance']","['womandirector', 'seanmaher', 'jaimeraynewman', 'janetcarroll', 'amandagoodwin', 'drama', 'romance']"
10494,Shopgirl,"['stevemartin', 'clairedanes', 'jasonschwartzman']",anandtucker,['salesclerk'],"['comedy', 'drama', 'romance']","['salesclerk', 'stevemartin', 'clairedanes', 'jasonschwartzman', 'anandtucker', 'comedy', 'drama', 'romance']"
10495,Kids in America,"['gregorysmith', 'stephaniesherrin', 'caitlinwachs']",joshstolberg,['independentfilm'],"['comedy', 'drama']","['independentfilm', 'gregorysmith', 'stephaniesherrin', 'caitlinwachs', 'joshstolberg', 'comedy', 'drama']"
10496,Where the Truth Lies,"['kevinbacon', 'colinfirth', 'alisonlohman']",atomegoyan,"['sex', 'journalist', 'journalism']","['drama', 'mystery', 'thriller']","['sex', 'journalist', 'journalism', 'kevinbacon', 'colinfirth', 'alisonlohman', 'atomegoyan', 'drama', 'mystery', 'thriller']"
10497,Barely Legal,"['erikvondetten', 'vincevieluf', 'sarah-janepotts']",davidm.evans,"['pornography', 'pornographicvideo', 'pornostar']",['comedy'],"['pornography', 'pornographicvideo', 'pornostar', 'erikvondetten', 'vincevieluf', 'sarah-janepotts', 'davidm.evans', 'comedy']"
10498,Emmanuel's Gift,"['oprahwinfrey', 'robinwilliams']",lisalax,"['athlete', 'disability', 'womandirector']",['documentary'],"['athlete', 'disability', 'womandirector', 'oprahwinfrey', 'robinwilliams', 'lisalax', 'documentary']"
10499,Stay,"['ewanmcgregor', 'ryangosling', 'naomiwatts']",marcforster,"['suicideattempt', 'timewarp', 'lossofsenseofreality']","['mystery', 'thriller', 'drama']","['suicideattempt', 'timewarp', 'lossofsenseofreality', 'ewanmcgregor', 'ryangosling', 'naomiwatts', 'marcforster', 'mystery', 'thriller', 'drama']"
10500,Confess,"['eugenebyrd', 'alilarter', 'melissaleo']",stefanc.schaefer,[],"['action', 'drama', 'thriller']","['eugenebyrd', 'alilarter', 'melissaleo', 'stefanc.schaefer', 'action', 'drama', 'thriller']"
10501,The Legend of Zorro,"['antoniobanderas', 'catherinezeta-jones', 'adriánalonsobarona']",martincampbell,"['california', 'spy', 'fathersonrelationship']","['action', 'adventure']","['california', 'spy', 'fathersonrelationship', 'antoniobanderas', 'catherinezeta-jones', 'adriánalonsobarona', 'martincampbell', 'action', 'adventure']"
10502,God's Sandbox,"['raziaisraeli', 'meitaldohan', 'amoslavi']",doroneran,[],"['romance', 'drama']","['raziaisraeli', 'meitaldohan', 'amoslavi', 'doroneran', 'romance', 'drama']"
10503,New York Doll,"['arthurkane', 'ninaantonia', 'clemburke']",gregwhiteley,"['newyork', 'punk', 'thebowery']","['documentary', 'music']","['newyork', 'punk', 'thebowery', 'arthurkane', 'ninaantonia', 'clemburke', 'gregwhiteley', 'documentary', 'music']"
10504,The Weather Man,"['nicolascage', 'michaelcaine', 'hopedavis']",goreverbinski,"['newyork', 'chicago', 'midlifecrisis']","['comedy', 'drama']","['newyork', 'chicago', 'midlifecrisis', 'nicolascage', 'michaelcaine', 'hopedavis', 'goreverbinski', 'comedy', 'drama']"
10505,Saw II,"['tobinbell', 'shawneesmith', 'donniewahlberg']",darrenlynnbousman,"['riddle', 'serialkiller']",['horror'],"['riddle', 'serialkiller', 'tobinbell', 'shawneesmith', 'donniewahlberg', 'darrenlynnbousman', 'horror']"
10506,Prime,"['umathurman', 'bryangreenberg', 'merylstreep']",benyounger,"['newyork', 'date', 'lovesickness']","['comedy', 'drama', 'romance']","['newyork', 'date', 'lovesickness', 'umathurman', 'bryangreenberg', 'merylstreep', 'benyounger', 'comedy', 'drama', 'romance']"
10507,One Wonderful Sunday,"['isaonumasaki', 'chiekonakakita', 'atsushiwatanabe']",akirakurosawa,[],"['drama', 'comedy', 'romance']","['isaonumasaki', 'chiekonakakita', 'atsushiwatanabe', 'akirakurosawa', 'drama', 'comedy', 'romance']"
10508,Will Success Spoil Rock Hunter?,"['tonyrandall', 'jaynemansfield', 'joanblondell']",franktashlin,"['ambition', 'marketing', 'advertisingexpert']","['comedy', 'drama', 'romance']","['ambition', 'marketing', 'advertisingexpert', 'tonyrandall', 'jaynemansfield', 'joanblondell', 'franktashlin', 'comedy', 'drama', 'romance']"
10509,Don't Move,"['sergiocastellitto', 'claudiagerini', 'penélopecruz']",sergiocastellitto,[],"['drama', 'romance']","['sergiocastellitto', 'claudiagerini', 'penélopecruz', 'sergiocastellitto', 'drama', 'romance']"
10510,Three Rooms of Melancholia,[],pirjohonkasalo,"['war', 'children', 'womandirector']",['documentary'],"['war', 'children', 'womandirector', 'pirjohonkasalo', 'documentary']"
10511,"Race for Your Life, Charlie Brown","['duncanwatson', 'gregfelton', 'stuartbrotman']",philroman,"['peanuts', 'charliebrown']",['animation'],"['peanuts', 'charliebrown', 'duncanwatson', 'gregfelton', 'stuartbrotman', 'philroman', 'animation']"
10512,Jerusalem,"['mariabonnevie', 'ulffriberg', 'pernillaaugust']",billeaugust,"['christianity', 'christian', 'religion']",['drama'],"['christianity', 'christian', 'religion', 'mariabonnevie', 'ulffriberg', 'pernillaaugust', 'billeaugust', 'drama']"
10513,"A Genius, Two Friends, and an Idiot","['terencehill', 'miou-miou', 'robertcharlebois']",damianodamiani,"['prison', 'hostage', 'officer']","['comedy', 'western']","['prison', 'hostage', 'officer', 'terencehill', 'miou-miou', 'robertcharlebois', 'damianodamiani', 'comedy', 'western']"
10514,Teorema,"['terencestamp', 'silvanamangano', 'massimogirotti']",pierpaolopasolini,"['italian', 'household', 'independentfilm']","['mystery', 'drama']","['italian', 'household', 'independentfilm', 'terencestamp', 'silvanamangano', 'massimogirotti', 'pierpaolopasolini', 'mystery', 'drama']"
10515,Little Fish,"['cateblanchett', 'samneill', 'hugoweaving']",rowanwoods,"['bank', 'junkie', 'heroin']","['drama', 'crime']","['bank', 'junkie', 'heroin', 'cateblanchett', 'samneill', 'hugoweaving', 'rowanwoods', 'drama', 'crime']"
10516,American Pie Presents: Band Camp,"['eugenelevy', 'tadhilgenbrink', 'ariellekebbel']",steverash,"['femalenudity', 'spanner', 'hiddencamera']",['comedy'],"['femalenudity', 'spanner', 'hiddencamera', 'eugenelevy', 'tadhilgenbrink', 'ariellekebbel', 'steverash', 'comedy']"
10517,Champion,"['kirkdouglas', 'marilynmaxwell', 'arthurkennedy']",markrobson,"['brotherbrotherrelationship', 'boxer', 'boxingmatch']",['drama'],"['brotherbrotherrelationship', 'boxer', 'boxingmatch', 'kirkdouglas', 'marilynmaxwell', 'arthurkennedy', 'markrobson', 'drama']"
10518,Requiem for a Vampire,"['marie-pierrecastel', 'mireilledargent', 'philippegasté']",jeanrollin,"['femalenudity', 'rape', 'sex']",['horror'],"['femalenudity', 'rape', 'sex', 'marie-pierrecastel', 'mireilledargent', 'philippegasté', 'jeanrollin', 'horror']"
10519,Life Is a Miracle,"['slavkoštimac', 'natašatapušković', 'vesnatrivalić']",emirkusturica,[],"['romance', 'drama', 'comedy']","['slavkoštimac', 'natašatapušković', 'vesnatrivalić', 'emirkusturica', 'romance', 'drama', 'comedy']"
10520,Tarzan the Ape Man,"['johnnyweissmuller', ""maureeno'sullivan"", 'neilhamilton']",w.s.vandyke,"['africa', 'tarzan', 'jungle']","['action', 'adventure']","['africa', 'tarzan', 'jungle', 'johnnyweissmuller', ""maureeno'sullivan"", 'neilhamilton', 'w.s.vandyke', 'action', 'adventure']"
10521,Tarzan and His Mate,"['johnnyweissmuller', ""maureeno'sullivan"", 'neilhamilton']",cedricgibbons,"['africa', 'lion', 'elephant']","['drama', 'adventure', 'action']","['africa', 'lion', 'elephant', 'johnnyweissmuller', ""maureeno'sullivan"", 'neilhamilton', 'cedricgibbons', 'drama', 'adventure', 'action']"
10522,Midnight Lace,"['dorisday', 'rexharrison', 'johngavin']",davidmiller,"['londonengland', 'suspicion', 'threattodeath']",['thriller'],"['londonengland', 'suspicion', 'threattodeath', 'dorisday', 'rexharrison', 'johngavin', 'davidmiller', 'thriller']"
10523,Empire of the Wolves,"['jeanreno', 'arlyjover', 'jocelynquivrin']",chrisnahon,"['amnesia', 'intelligence', 'psychology']",['action'],"['amnesia', 'intelligence', 'psychology', 'jeanreno', 'arlyjover', 'jocelynquivrin', 'chrisnahon', 'action']"
10524,The Great Yokai War,"['ryunosukekamiki', 'hiroyukimiyasako', 'chiakikuriyama']",takashimiike,['multiplemonsters'],"['comedy', 'fantasy', 'action']","['multiplemonsters', 'ryunosukekamiki', 'hiroyukimiyasako', 'chiakikuriyama', 'takashimiike', 'comedy', 'fantasy', 'action']"
10525,The Swindle,"['broderickcrawford', 'giuliettamasina', 'francofabrizi']",federicofellini,[],"['comedy', 'drama']","['broderickcrawford', 'giuliettamasina', 'francofabrizi', 'federicofellini', 'comedy', 'drama']"
10526,Mahogany,"['dianaross', 'billydeewilliams', 'anthonyperkins']",berrygordy,"['slum', 'chicago', 'rome']","['drama', 'romance']","['slum', 'chicago', 'rome', 'dianaross', 'billydeewilliams', 'anthonyperkins', 'berrygordy', 'drama', 'romance']"
10527,Angels in Fast Motion,"['signeegholmolsen', 'clausriisøstergaard', 'thurelindhardt']",olechristianmadsen,[],"['crime', 'drama']","['signeegholmolsen', 'clausriisøstergaard', 'thurelindhardt', 'olechristianmadsen', 'crime', 'drama']"
10528,Manderlay,"['brycedallashoward', 'isaachdebankolé', 'dannyglover']",larsvontrier,"['southernusa', 'slavery', 'duringcreditsstinger']",['drama'],"['southernusa', 'slavery', 'duringcreditsstinger', 'brycedallashoward', 'isaachdebankolé', 'dannyglover', 'larsvontrier', 'drama']"
10529,Week-End in Havana,"['alicefaye', 'carmenmiranda', 'johnpayne']",walterlang,['havanacuba'],"['comedy', 'romance', 'music']","['havanacuba', 'alicefaye', 'carmenmiranda', 'johnpayne', 'walterlang', 'comedy', 'romance', 'music']"
10530,Nine Lives,"['jasonisaacs', 'robinwright', 'amybrenneman']",rodrigogarcía,['independentfilm'],"['drama', 'romance']","['independentfilm', 'jasonisaacs', 'robinwright', 'amybrenneman', 'rodrigogarcía', 'drama', 'romance']"
10531,South Central,"['glennplummer', 'byronminns', 'lexiebigham']",stephenmilburnanderson,"['gangwar', 'losangeles']","['crime', 'drama']","['gangwar', 'losangeles', 'glennplummer', 'byronminns', 'lexiebigham', 'stephenmilburnanderson', 'crime', 'drama']"
10532,Damnation Alley,"['jan-michaelvincent', 'georgepeppard', 'dominiquesanda']",jacksmight,"['basedonnovel', 'future', 'post-apocalyptic']","['action', 'adventure', 'sciencefiction']","['basedonnovel', 'future', 'post-apocalyptic', 'jan-michaelvincent', 'georgepeppard', 'dominiquesanda', 'jacksmight', 'action', 'adventure', 'sciencefiction']"
10533,The Bridges at Toko-Ri,"['williamholden', 'gracekelly', 'fredricmarch']",markrobson,"['korea', 'jetpilot']","['action', 'drama', 'war']","['korea', 'jetpilot', 'williamholden', 'gracekelly', 'fredricmarch', 'markrobson', 'action', 'drama', 'war']"
10534,Love on the Run,"['jean-pierreléaud', 'marie-francepisier', 'claudejade']",françoistruffaut,"['paris', 'adultery', 'bookshop']","['comedy', 'drama', 'romance']","['paris', 'adultery', 'bookshop', 'jean-pierreléaud', 'marie-francepisier', 'claudejade', 'françoistruffaut', 'comedy', 'drama', 'romance']"
10535,Duck Season,"['danielmiranda', 'diegocataño', 'dannyperea']",fernandoeimbcke,"['videogame', 'homophobia', 'flat']","['drama', 'comedy', 'foreign']","['videogame', 'homophobia', 'flat', 'danielmiranda', 'diegocataño', 'dannyperea', 'fernandoeimbcke', 'drama', 'comedy', 'foreign']"
10536,Aprile,"['nannimoretti', 'silvioorlando', 'silvianono']",nannimoretti,[],['comedy'],"['nannimoretti', 'silvioorlando', 'silvianono', 'nannimoretti', 'comedy']"
10537,The Adventures of Prince Achmed,['danadempsey'],carlkoch,"['silentfilm', 'epicpoem']","['drama', 'animation', 'adventure']","['silentfilm', 'epicpoem', 'danadempsey', 'carlkoch', 'drama', 'animation', 'adventure']"
10538,The Gore Gore Girls,"['frankkress', 'amyfarrell', 'heddalubin']",herschellgordonlewis,"['femalenudity', 'nudity', 'sadism']","['comedy', 'horror', 'mystery']","['femalenudity', 'nudity', 'sadism', 'frankkress', 'amyfarrell', 'heddalubin', 'herschellgordonlewis', 'comedy', 'horror', 'mystery']"
10539,Revolver,"['jasonstatham', 'rayliotta', 'vincentpastore']",guyritchie,"['cash', 'wrongdiagnosis', 'foretelling']","['drama', 'thriller', 'crime']","['cash', 'wrongdiagnosis', 'foretelling', 'jasonstatham', 'rayliotta', 'vincentpastore', 'guyritchie', 'drama', 'thriller', 'crime']"
10540,Wild Zero,"['guitarwolf', 'basswolf', 'drumwolf']",tetsurotakeuchi,"['rockandroll', 'horror', 'alien']",['horror'],"['rockandroll', 'horror', 'alien', 'guitarwolf', 'basswolf', 'drumwolf', 'tetsurotakeuchi', 'horror']"
10541,Everything Put Together,"['radhamitchell', 'meganmullally', 'catherinelloydburns']",marcforster,['independentfilm'],['drama'],"['independentfilm', 'radhamitchell', 'meganmullally', 'catherinelloydburns', 'marcforster', 'drama']"
10542,Jarhead,"['jamiefoxx', 'jakegyllenhaal', 'scottmacdonald']",sammendes,"['sniper', 'marinecorps', 'saudiarabia']","['drama', 'war']","['sniper', 'marinecorps', 'saudiarabia', 'jamiefoxx', 'jakegyllenhaal', 'scottmacdonald', 'sammendes', 'drama', 'war']"
10543,Siblings,"['alexcampbell', 'paulsoles', 'andrewchalmers']",davidweaver,"['murder', 'darkcomedy', 'lust']",['comedy'],"['murder', 'darkcomedy', 'lust', 'alexcampbell', 'paulsoles', 'andrewchalmers', 'davidweaver', 'comedy']"
10544,Ushpizin,"['shulirand', 'michalbat-shevarand', 'shaulmizrahi']",giddidar,[],"['comedy', 'drama']","['shulirand', 'michalbat-shevarand', 'shaulmizrahi', 'giddidar', 'comedy', 'drama']"
10545,Chicken Little,"['zachbraff', 'joancusack', 'danmolina']",markdindal,"['fish', 'smalltown', 'spacemarine']","['animation', 'family', 'comedy']","['fish', 'smalltown', 'spacemarine', 'zachbraff', 'joancusack', 'danmolina', 'markdindal', 'animation', 'family', 'comedy']"
10546,Romance & Cigarettes,"['jamesgandolfini', 'susansarandon', 'katewinslet']",johnturturro,"['infidelity', 'lovers', 'workingclass']","['comedy', 'music', 'romance']","['infidelity', 'lovers', 'workingclass', 'jamesgandolfini', 'susansarandon', 'katewinslet', 'johnturturro', 'comedy', 'music', 'romance']"
10547,To The Other Side,['carmenmaura'],gustavoloza,[],"['drama', 'family']","['carmenmaura', 'gustavoloza', 'drama', 'family']"
10548,Dead Man's Shoes,"['paddyconsidine', 'garystretch', 'tobykebbell']",shanemeadows,"['rageandhate', 'brother', 'revenge']","['drama', 'thriller', 'crime']","['rageandhate', 'brother', 'revenge', 'paddyconsidine', 'garystretch', 'tobykebbell', 'shanemeadows', 'drama', 'thriller', 'crime']"
10549,Joyeux Noël,"['dianekruger', 'nataliedessay', 'bennofürmann']",christiancarion,"['holiday', 'worldwari', 'hostility']","['romance', 'drama', 'history']","['holiday', 'worldwari', 'hostility', 'dianekruger', 'nataliedessay', 'bennofürmann', 'christiancarion', 'romance', 'drama', 'history']"
